time | time (millisecond),membrane | V (millivolt)
1674,-86.3753
1675,-86.3755
1676,-86.3756
1677,-86.3758
1678,-86.3759
1679,-86.3761
1680,-86.3762
1681,-86.3763
1682,-86.3765
1683,-86.3766
1684,-86.3768
1685,-86.3769
1686,-86.377
1687,-86.3772
1688,-86.3773
1689,-86.3774
1690,-86.3776
1691,-86.3777
1692,-86.3778
1693,-86.3779
1694,-86.3781
1695,-86.3782
1696,-86.3783
1697,-86.3784
1698,-86.3786
1699,-86.3787
1700,-86.3788
1701,-86.3789
1702,-86.379
1703,-86.3792
1704,-86.3793
1705,-86.3794
1706,-86.3795
1707,-86.3796
1708,-86.3797
1709,-86.3799
1710,-86.38
1711,-86.3801
1712,-86.3802
1713,-86.3803
1714,-86.3804
1715,-86.3805
1716,-86.3806
1717,-86.3807
1718,-86.3808
1719,-86.3809
1720,-86.381
1721,-86.3811
1722,-86.3812
